reading_id,worker_id,reading_no,datetime,shift_hours,break_gap_min,x,y,z,eda,hr,temp,fatigue_score,blink_rate_pm,activity_score,accel_impact_g,body_angle_deg,motion_detected,helmet,vest,zone_authorized,hr_prev,temp_prev,eda_prev,temp_slope,hr_slope,eda_slope,heat_stress_risk_percent,fatigue_risk_percent,fall_risk_percent,collapse_risk_percent,ppe_risk_percent,predicted_anomaly,time_to_anomaly_min,confidence_percent,actual_anomaly_label,hour,day,month,movement_magnitude,ppe_compliance_score,overall_risk_score,fatigue_level,worker_id_encoded,predicted_anomaly_encoded,actual_anomaly_label_encoded
1,W001,1,2024-01-01 8:15:00,0.25,7,-32,-62,-20,6.649189,74.08,36.88,1.68,18,86,0.11,87,1,1,1,1,75.75,36.88,6.646399,0.0046,-1.6654,0.00279,5,21,8,12,6,Worker_Fatigue,0,0,Normal,8,1,1,72.58098925,3,10.4,Low,0,2,2
2,W001,2,2024-01-01 8:30:00,0.5,15,-26,-78,10,6.637319,74.23,36.88,1.35,18,90,0.15,86,1,1,1,1,74.08,36.88,6.649189,0,0.15,-0.01187,3,17,6,9,7,Worker_Fatigue,0,0,Normal,8,1,1,82.82511696,3,8.4,Low,0,2,2
3,W001,3,2024-01-01 8:45:00,0.75,22,1,-69,16,6.649309,74.85,36.9,1.49,18,85,0.11,87,1,1,1,1,74.23,36.88,6.637319,0.02,0.62,0.01199,25,22,7,19,10,Worker_Fatigue,0,0,Normal,8,1,1,70.83784299,3,16.6,Low,0,2,2
4,W001,4,2024-01-01 9:00:00,1,30,-45,-69,32,6.633117,76.06,36.82,1.65,19,88,0.14,87,1,1,1,1,74.85,36.9,6.649309,-0.08,1.21,-0.016192,11,23,8,16,12,Worker_Fatigue,0,0,Normal,9,1,1,88.37420438,3,14,Low,0,2,2
5,W001,5,2024-01-01 9:15:00,1.25,37,-73,-65,-38,6.635093,73.73,36.85,1.67,19,88,0.21,88,1,1,1,1,76.06,36.82,6.633117,0.03,-2.33,0.001976,32,24,8,23,14,Worker_Fatigue,0,0,Normal,9,1,1,104.8713498,3,20.2,Low,0,2,2
6,W001,6,2024-01-01 9:30:00,1.5,45,0,-61,-38,6.641607,76.24,36.9,1.65,17,84,0.21,89,1,1,1,1,73.73,36.85,6.635093,0.05,2.51,0.006514,66,27,8,35,17,Heat_Stress,61,66,Normal,9,1,1,71.86793444,3,30.6,Low,0,0,2
7,W001,7,2024-01-01 9:45:00,1.75,52,-70,-78,13,6.661353,77.2,36.9,1.76,17,93,0.12,87,1,1,1,1,76.24,36.9,6.641607,0,0.96,0.019746,13,24,8,18,16,Worker_Fatigue,0,0,Normal,9,1,1,105.6077649,3,15.8,Low,0,2,2
8,W001,8,2024-01-01 10:00:00,2,60,3,-47,13,6.644202,75.88,36.82,1.79,18,89,0.09,87,1,1,1,1,77.2,36.9,6.661353,-0.08,-1.32,-0.017151,9,27,8,19,20,Worker_Fatigue,0,0,Normal,10,1,1,48.856934,3,16.6,Low,0,2,2
9,W001,9,2024-01-01 10:15:00,2.25,67,-41,-47,36,6.660117,76.13,36.88,1.8,19,85,0.13,87,1,1,1,1,75.88,36.82,6.644202,0.06,0.25,0.015915,65,30,9,37,23,Heat_Stress,63,65,Normal,10,1,1,72.01388755,3,32.8,Low,0,0,2
10,W001,10,2024-01-01 10:30:00,2.5,75,-33,-51,-13,6.632245,75.75,36.87,1.74,17,85,0.14,88,1,1,1,1,76.13,36.88,6.660117,-0.01,-0.38,-0.027872,11,31,8,22,25,Worker_Fatigue,0,0,Normal,10,1,1,62.12084996,3,19.4,Low,0,2,2
11,W001,11,2024-01-01 10:45:00,2.75,82,-54,-43,-26,6.635673,75.72,36.83,1.68,18,86,0.1,88,1,1,1,1,75.75,36.87,6.632245,-0.04,-0.03,0.003428,12,31,8,23,27,Worker_Fatigue,0,0,Normal,10,1,1,73.76313442,3,20.2,Low,0,2,2
12,W001,12,2024-01-01 11:00:00,3,90,-22,-58,-40,6.657827,75.69,36.84,1.97,17,87,0.25,86,1,1,1,1,75.72,36.83,6.635673,0.01,-0.03,0.022154,22,34,9,28,29,Worker_Fatigue,0,0,Normal,11,1,1,73.81056835,3,24.4,Low,0,2,2
13,W001,13,2024-01-01 11:15:00,3.25,97,-64,-52,-11,6.663465,75.01,36.9,2.02,18,85,0.2,86,1,1,1,1,75.69,36.84,6.657827,0.06,-0.68,0.005638,68,36,10,43,32,Heat_Stress,57,68,Normal,11,1,1,83.19254774,3,37.8,Low,0,0,2
14,W001,14,2024-01-01 11:30:00,3.5,105,-71,-44,40,6.654534,74.57,36.87,1.74,19,86,0.04,88,1,1,1,1,75.01,36.9,6.663465,-0.03,-0.44,-0.008931,15,34,8,26,33,Worker_Fatigue,0,0,Normal,11,1,1,92.61209424,3,23.2,Low,0,2,2
15,W001,15,2024-01-01 11:45:00,3.75,112,-79,-75,16,6.659393,73.59,36.91,1.82,19,86,0.17,88,1,1,1,1,74.57,36.87,6.654534,0.04,-0.98,0.004859,52,36,9,39,36,Heat_Stress,86,52,Normal,11,1,1,110.0999546,3,34.4,Low,0,0,2
16,W001,16,2024-01-01 12:00:00,4,120,-21,-46,15,6.634486,78.54,36.89,2.08,19,83,0.23,87,1,1,1,1,73.59,36.91,6.659393,-0.02,4.95,-0.024907,47,41,10,40,39,Heat_Stress,95,47,Normal,12,1,1,52.74466798,3,35.4,Low,0,0,2
17,W001,17,2024-01-01 12:15:00,4.25,127,-34,-56,0,6.6327,74.44,36.88,1.89,18,87,0.23,88,1,1,1,1,78.54,36.89,6.634486,-0.01,-4.1,-0.001786,19,38,9,31,39,Worker_Fatigue,0,0,Normal,12,1,1,65.51335742,3,27.2,Low,0,2,2
18,W001,18,2024-01-01 12:30:00,4.5,135,6,-45,-20,6.63569,76.68,36.85,2.11,18,84,0.18,87,1,1,1,1,74.44,36.88,6.6327,-0.03,2.24,0.00299,33,42,10,37,43,PPE_Violation,102,43,Normal,12,1,1,49.60846702,3,33,Low,0,1,2
19,W001,19,2024-01-01 12:45:00,4.75,142,-71,-55,49,6.637138,77.31,36.87,1.99,18,86,0.19,89,1,1,1,1,76.68,36.85,6.63569,0.02,0.63,0.001448,43,41,9,40,44,PPE_Violation,100,44,Normal,12,1,1,102.3083574,3,35.4,Low,0,1,2
20,W001,20,2024-01-01 13:00:00,5,150,-7,-47,36,6.649977,75.83,36.84,2.18,19,86,0.05,87,1,1,1,1,77.31,36.87,6.637138,-0.03,-1.48,0.012839,22,44,10,36,46,PPE_Violation,97,46,Normal,13,1,1,59.61543424,3,31.6,Low,0,1,2
21,W001,21,2024-01-01 13:15:00,5.25,157,-49,-64,-40,6.660772,75.78,36.9,2.13,19,87,0.17,88,1,1,1,1,75.83,36.84,6.649977,0.06,-0.05,0.010795,77,44,10,53,48,Heat_Stress,41,77,Normal,13,1,1,89.98333179,3,46.4,Low,0,0,2
22,W001,22,2024-01-01 13:30:00,5.5,165,-68,-59,26,6.669545,75.02,36.88,1.88,16,85,0.12,89,1,1,1,1,75.78,36.9,6.660772,-0.02,-0.76,0.008773,24,44,9,37,51,PPE_Violation,88,51,Normal,13,1,1,93.70699013,3,33,Low,0,1,2
23,W001,23,2024-01-01 13:45:00,5.75,172,-50,-48,-22,6.670289,76.57,36.84,2.47,18,87,0.15,88,1,1,1,1,75.02,36.88,6.669545,-0.04,1.55,0.000744,35,49,12,44,52,PPE_Violation,86,52,Normal,13,1,1,72.71863585,3,38.4,Low,0,1,2
24,W001,24,2024-01-01 14:00:00,6,180,-30,-51,16,6.651449,74.56,36.87,2.35,17,81,0.12,87,1,1,1,1,76.57,36.84,6.670289,0.03,-2.01,-0.01884,54,52,11,51,56,PPE_Violation,79,56,Normal,14,1,1,61.29437168,3,44.8,Low,0,1,2
25,W001,25,2024-01-01 14:15:00,6.25,187,-71,-60,-2,6.63313,76.31,36.92,2.53,16,82,0.13,89,1,1,1,1,74.56,36.87,6.651449,0.05,1.75,-0.018319,83,54,12,61,58,Heat_Stress,30,83,Normal,14,1,1,92.97849214,3,53.6,Low,0,0,2
26,W001,26,2024-01-01 14:30:00,6.5,195,-34,-45,15,6.662723,75.37,36.84,2.07,18,82,0.25,86,1,1,1,1,76.31,36.92,6.63313,-0.08,-0.94,0.029593,29,51,10,44,60,PPE_Violation,72,60,Normal,14,1,1,58.36094585,3,38.8,Low,0,1,2
27,W001,27,2024-01-01 14:45:00,6.75,202,-30,-42,-11,6.65287,75.44,36.88,2.33,19,79,0.11,90,1,1,1,1,75.37,36.84,6.662723,0.04,0.07,-0.009853,66,56,11,57,63,Heat_Stress,61,66,Normal,14,1,1,52.77309921,3,50.6,Low,0,0,2
28,W001,28,2024-01-01 15:00:00,7,210,-23,-44,23,6.644318,76.17,36.86,2.27,18,82,0.17,87,1,1,1,1,75.44,36.88,6.65287,-0.02,0.73,-0.008552,35,55,11,48,64,PPE_Violation,64,64,Normal,15,1,1,54.71745608,3,42.6,Low,0,1,2
29,W001,29,2024-01-01 15:15:00,7.25,217,3,-45,-7,6.651916,74.8,36.9,2.26,16,79,0.1,89,1,1,1,1,76.17,36.86,6.644318,0.04,-1.37,0.007598,68,57,11,59,67,Heat_Stress,57,68,Normal,15,1,1,45.63989483,3,52.4,Low,0,0,2
30,W001,30,2024-01-01 15:30:00,7.5,225,5,-57,13,6.659454,76.98,36.9,2.4,17,84,0.17,87,1,1,1,1,74.8,36.9,6.651916,0,2.18,0.007538,46,57,12,54,68,PPE_Violation,57,68,Normal,15,1,1,58.67708241,3,47.4,Low,0,1,2
31,W001,31,2024-01-01 15:45:00,7.75,232,-30,-62,38,6.658448,73.06,36.86,2.25,18,84,0.1,87,1,1,1,1,76.98,36.9,6.659454,-0.04,-3.92,-0.001006,34,57,11,50,70,PPE_Violation,54,70,Normal,15,1,1,78.66384176,3,44.4,Low,0,1,2
32,W001,32,2024-01-01 16:00:00,8,240,-73,-47,20,6.650528,74.51,36.87,2.38,17,81,0.17,87,1,1,1,1,73.06,36.86,6.658448,0.01,1.45,-0.00792,53,60,11,58,73,PPE_Violation,48,73,Normal,16,1,1,89.09545443,3,51,Low,0,1,2
33,W001,33,2024-01-01 16:15:00,8.25,247,-37,-77,-38,6.639757,77.48,36.86,2.69,19,78,0.13,87,1,1,1,1,74.51,36.87,6.650528,-0.01,2.97,-0.010771,54,65,13,61,76,PPE_Violation,43,76,Normal,16,1,1,93.49866309,3,53.8,Low,0,1,2
34,W001,34,2024-01-01 16:30:00,8.5,255,-59,-41,-48,6.651592,76.23,36.85,2.75,18,82,0.2,87,1,1,1,1,77.48,36.86,6.639757,-0.01,-1.25,0.011835,38,65,13,57,77,PPE_Violation,41,77,Normal,16,1,1,86.40601831,3,50,Low,0,1,2
35,W001,35,2024-01-01 16:45:00,8.75,262,-23,-56,40,6.651135,75.85,36.9,2.56,18,86,0.12,89,1,1,1,1,76.23,36.85,6.651592,0.05,-0.38,-0.000457,84,62,12,69,78,Heat_Stress,28,84,Normal,16,1,1,72.56031973,3,61,Low,0,0,2
36,W001,36,2024-01-01 17:00:00,9,270,7,-40,19,6.638002,79.03,36.85,2.49,17,77,0.1,88,1,1,1,1,75.85,36.9,6.651135,-0.05,3.18,-0.013133,59,67,12,64,83,PPE_Violation,30,83,Normal,17,1,1,44.83302354,3,57,Low,0,1,2
37,W001,37,2024-01-01 17:15:00,9.25,277,-2,-78,-47,6.652112,72.88,36.89,2.76,18,83,0.2,87,1,1,1,1,79.03,36.85,6.638002,0.04,-6.15,0.01411,77,67,13,71,83,PPE_Violation,30,83,Normal,17,1,1,91.08786966,3,62.2,Low,0,1,2
38,W001,38,2024-01-01 17:30:00,9.5,285,-74,-45,31,6.629267,77.51,36.86,2.84,18,81,0.04,87,1,1,1,1,72.88,36.89,6.652112,-0.03,4.63,-0.022845,70,70,14,70,86,PPE_Violation,25,86,Normal,17,1,1,91.98912979,3,62,Low,0,1,2
39,W001,39,2024-01-01 17:45:00,9.75,292,-47,-75,17,6.643269,78.02,36.88,2.43,17,79,0.22,89,1,1,1,1,77.51,36.86,6.629267,0.02,0.51,0.014002,64,68,12,68,89,PPE_Violation,19,89,Normal,17,1,1,90.1276872,3,60.2,Low,0,1,2
40,W001,40,2024-01-01 18:00:00,10,300,-67,-78,25,6.658192,78.07,36.88,2.71,19,85,0.13,88,1,1,1,1,78.02,36.88,6.643269,0,0.05,0.014923,45,69,13,63,89,PPE_Violation,19,89,Normal,18,1,1,105.8206029,3,55.8,Low,0,1,2
41,W001,41,2024-01-01 18:15:00,10.25,307,-48,-59,28,6.642062,77.98,36.9,2.68,18,77,0.21,87,1,1,1,1,78.07,36.88,6.658192,0.02,-0.09,-0.01613,64,73,13,71,93,PPE_Violation,12,93,Normal,18,1,1,81.04936767,3,62.8,Low,0,1,2
