timestamp,anomaly_category,anomaly_type,server_load_kw,chilled_water_kj,outdoor_temp_c,humidity_pct,hvac_runtime_hr,airflow_velocity_mps,power_consumption_kw,ai_risk_score,status,year,month,day,hour,day_of_week,power_to_load_ratio,cooling_efficiency,thermal_stress_index,airflow_efficiency,high_risk_flag,severity_score,status_encoded
01-01-2026 00:00,Immediate Emergency Monitor,Server Room Overheating,370.3,0.3,38.4,55.9,23.8,2.19,307.2,74,Critical,2026,1,1,0,Thursday,0.83,0,42.72,0.591,0,93.04,2
01-01-2026 01:00,Immediate Emergency Monitor,Sudden Thermal Spike,334.1,21.1,39.8,69.2,21.3,2.06,237.7,85.8,Critical,2026,1,1,1,Thursday,0.71,0.06,44.88,0.617,1,102.84,2
01-01-2026 02:00,Immediate Emergency Monitor,Sudden Thermal Spike,323.1,15.1,38.6,49.5,23.2,2.56,280.7,70.4,Critical,2026,1,1,2,Thursday,0.87,0.05,39.97,0.792,0,88.96,2
01-01-2026 03:00,Immediate Emergency Monitor,Sudden Thermal Spike,368,16.6,34.8,66.6,18.8,1.47,346.5,85.8,Critical,2026,1,1,3,Thursday,0.94,0.04,42.99,0.399,1,100.84,2
01-01-2026 04:00,Immediate Emergency Monitor,Server Room Overheating,329.4,9.3,33.5,61.8,23.2,1.73,252.8,69.4,Critical,2026,1,1,4,Thursday,0.77,0.03,40.09,0.525,0,87.96,2
01-01-2026 05:00,Immediate Emergency Monitor,Sudden Thermal Spike,367.8,7.5,37.5,65.8,21.4,1.72,280.8,85.4,Critical,2026,1,1,5,Thursday,0.76,0.02,44.17,0.468,1,102.52,2
01-01-2026 06:00,Immediate Emergency Monitor,Server Room Overheating,374.4,0.4,38.1,58.7,18.3,2.63,368.1,76.7,Critical,2026,1,1,6,Thursday,0.98,0,43.27,0.702,1,91.34,2
01-01-2026 07:00,Immediate Emergency Monitor,Server Room Overheating,337.3,9.2,34.2,53.4,21.7,2.97,259,67.8,Critical,2026,1,1,7,Thursday,0.77,0.03,39.02,0.881,0,85.16,2
01-01-2026 08:00,Immediate Emergency Monitor,Server Room Overheating,364,12.1,30.8,52.1,22.7,2.15,356.2,68.7,Critical,2026,1,1,8,Thursday,0.98,0.03,37.95,0.591,0,86.86,2
01-01-2026 09:00,Immediate Emergency Monitor,Sudden Thermal Spike,346,20.6,34,54.3,18.3,2.12,236.1,67.2,Critical,2026,1,1,9,Thursday,0.68,0.06,39.39,0.613,0,81.84,2
01-01-2026 10:00,Immediate Emergency Monitor,Sudden Thermal Spike,376.7,19.3,38.1,50,21.8,2.23,330.6,73,Critical,2026,1,1,10,Thursday,0.88,0.05,41.61,0.592,0,90.44,2
01-01-2026 11:00,Immediate Emergency Monitor,Server Room Overheating,345.1,22.5,31.2,51.9,19.7,2.72,402.3,70.3,Critical,2026,1,1,11,Thursday,1.17,0.07,37.48,0.788,0,86.06,2
01-01-2026 12:00,Immediate Emergency Monitor,Sudden Thermal Spike,345.9,29.4,30.8,49.5,21.1,1.78,144.1,60.3,Critical,2026,1,1,12,Thursday,0.42,0.08,36.83,0.515,0,77.18,2
01-01-2026 13:00,Immediate Emergency Monitor,Sudden Thermal Spike,378.2,3.4,34.8,62.6,22.4,2.31,263.1,72.2,Critical,2026,1,1,13,Thursday,0.7,0.01,42.53,0.611,0,90.12,2
01-01-2026 14:00,Immediate Emergency Monitor,Server Room Overheating,345.4,10.4,34.8,50.1,19.6,2.64,337,70.2,Critical,2026,1,1,14,Thursday,0.98,0.03,38.93,0.764,0,85.88,2
01-01-2026 15:00,Immediate Emergency Monitor,Server Room Overheating,349,8.1,33.4,69.2,21.9,2.43,290.1,83.2,Critical,2026,1,1,15,Thursday,0.83,0.02,42.17,0.696,1,100.72,2
01-01-2026 16:00,Immediate Emergency Monitor,Server Room Overheating,356.2,2.3,30.9,52.4,23.7,2.29,326.7,67.7,Critical,2026,1,1,16,Thursday,0.92,0.01,37.8,0.643,0,86.66,2
01-01-2026 17:00,Immediate Emergency Monitor,Sudden Thermal Spike,325.5,18,37.5,51.7,21.9,2.65,268.7,69.9,Critical,2026,1,1,17,Thursday,0.83,0.06,39.94,0.814,0,87.42,2
01-01-2026 18:00,Immediate Emergency Monitor,Server Room Overheating,320.9,29,33,62.7,22.1,0.98,320.3,83.6,Critical,2026,1,1,18,Thursday,1,0.09,39.74,0.305,1,101.28,2
01-01-2026 19:00,Immediate Emergency Monitor,Server Room Overheating,356.6,9.4,33.3,66.7,21.6,2.51,287.3,82.5,Critical,2026,1,1,19,Thursday,0.81,0.03,41.88,0.704,1,99.78,2
01-01-2026 20:00,Immediate Emergency Monitor,Server Room Overheating,376.8,3.2,31.9,63.4,23.7,1.91,374.7,73.7,Critical,2026,1,1,20,Thursday,0.99,0.01,41.19,0.507,0,92.66,2
01-01-2026 21:00,Immediate Emergency Monitor,Sudden Thermal Spike,373,6.1,37.1,62,22.2,1.38,321.3,75.4,Critical,2026,1,1,21,Thursday,0.86,0.02,43.38,0.37,1,93.16,2
01-01-2026 22:00,Immediate Emergency Monitor,Server Room Overheating,344.5,0.5,37,56.3,19.5,2.43,308.7,72.7,Critical,2026,1,1,22,Thursday,0.9,0,41.24,0.705,0,88.3,2
