Timestamp,Household_ID,Electricity_Usage_kWh,Temperature,Humidity,Weather_Condition,Peak_Load,Appliance_Usage,Midnight_Usage,Usage_Pattern,Sudden_Spike_Flag,Continuous_Load_Flag,Weather_Mismatch_Flag,Anomaly_Type,Anomaly_Status,Predicted_Energy_Usage,AI_Recommendation
01/01/25 0:00,HH_1029,5.96,18.6,47,Rainy,0,12,4.47,Low Consumption,0,1,0,Power Theft,Warning,5.75,Schedule heavy appliances during off-peak hours
01/01/25 3:00,HH_1007,9,31.5,75,Windy,1,11,1.74,Normal,0,1,1,Unexpected Spike,Warning,8.68,Use energy-efficient devices
01/01/25 6:00,HH_1027,15.64,20.2,36,Cloudy,1,2,4.41,Low Consumption,0,1,0,Unexpected Spike,Critical,16.78,Reduce peak hour usage
01/01/25 9:00,HH_1018,17.77,19.1,44,Cloudy,0,3,2.34,Work From Home,1,0,1,Unexpected Spike,Warning,19.57,Schedule heavy appliances during off-peak hours
01/01/25 12:00,HH_1019,13.8,32.6,40,Windy,0,9,2.34,Low Consumption,0,1,0,Appliance Fault,Warning,15.75,Use energy-efficient devices
01/01/25 15:00,HH_1069,16.08,19.6,88,Windy,1,5,3.97,Work From Home,1,0,1,Appliance Fault,Warning,18.07,Schedule heavy appliances during off-peak hours
01/01/25 18:00,HH_1068,8.69,35.9,57,Windy,0,4,3.11,Normal,0,0,0,None,Normal,9.46,No action required
01/01/25 21:00,HH_1109,11.74,32.3,54,Stormy,1,10,1.58,Low Consumption,0,0,1,Unexpected Spike,Warning,11.6,Optimize AC temperature settings
02/01/25 0:00,HH_1117,17.56,18.1,76,Cloudy,0,10,5.48,Weekend Peak,0,0,1,Appliance Fault,Warning,18.96,Use energy-efficient devices
02/01/25 3:00,HH_1005,6.21,20.7,53,Cloudy,0,11,5.69,Normal,1,0,0,Appliance Fault,Critical,7.35,Inspect wiring and meter
02/01/25 6:00,HH_1068,17.45,30.7,68,Stormy,0,6,2.45,Weekend Peak,1,1,0,Appliance Fault,Warning,16.04,Optimize AC temperature settings
02/01/25 9:00,HH_1142,3.6,23.5,44,Sunny,0,5,0.5,Normal,1,0,0,Unexpected Spike,Critical,3.47,Inspect wiring and meter
02/01/25 12:00,HH_1147,15.02,31.8,45,Stormy,0,3,0.67,Work From Home,1,1,1,Continuous Overload,Warning,16.55,Schedule heavy appliances during off-peak hours
02/01/25 15:00,HH_1026,14.91,19.5,76,Cloudy,0,5,1.23,Low Consumption,1,0,1,Appliance Fault,Critical,15.49,Inspect wiring and meter
02/01/25 18:00,HH_1114,4.02,37.4,84,Windy,0,3,5.57,High Evening Usage,0,1,1,Continuous Overload,Warning,4.66,Optimize AC temperature settings
02/01/25 21:00,HH_1043,16.86,27.1,54,Cloudy,1,6,2.6,Low Consumption,1,0,0,Unexpected Spike,Warning,20.07,Schedule heavy appliances during off-peak hours
03/01/25 0:00,HH_1139,3.28,19.5,50,Sunny,1,10,5.52,Low Consumption,0,0,0,None,Normal,3.79,No action required
03/01/25 3:00,HH_1018,8.76,32.3,73,Rainy,0,11,3.61,Low Consumption,0,1,1,Unexpected Spike,Warning,9.64,Use energy-efficient devices
03/01/25 6:00,HH_1062,9.59,24.4,38,Cloudy,0,2,2.8,Low Consumption,0,0,0,None,Normal,10.09,No action required
03/01/25 9:00,HH_1034,16.13,40.4,86,Sunny,1,6,1.03,Low Consumption,1,0,1,Power Theft,Warning,15.8,Optimize AC temperature settings
03/01/25 12:00,HH_1142,5.76,21.7,48,Windy,1,5,4.16,Weekend Peak,1,1,0,Power Theft,Critical,6.62,Inspect wiring and meter
03/01/25 15:00,HH_1001,5,26,38,Cloudy,1,10,4.26,Low Consumption,0,0,0,None,Normal,5.92,No action required
03/01/25 18:00,HH_1039,11.53,31.1,83,Cloudy,0,8,0.85,Weekend Peak,1,0,1,Appliance Fault,Warning,12.68,Use energy-efficient devices
03/01/25 21:00,HH_1144,14.12,39.2,56,Windy,0,4,5.86,High Evening Usage,1,0,0,Unexpected Spike,Critical,16.11,Reduce peak hour usage
04/01/25 0:00,HH_1064,8.43,24.4,80,Sunny,0,9,1.41,Work From Home,1,1,0,Appliance Fault,Warning,9.26,Use energy-efficient devices
04/01/25 3:00,HH_1085,7.94,24.7,34,Cloudy,1,12,5.89,Low Consumption,1,0,0,Unexpected Spike,Warning,8.53,Use energy-efficient devices
04/01/25 6:00,HH_1010,13.79,20.6,57,Cloudy,1,8,3.68,Low Consumption,0,1,0,Unexpected Spike,Warning,15.34,Optimize AC temperature settings
04/01/25 9:00,HH_1134,8.15,40.2,64,Rainy,0,12,5.53,Low Consumption,1,0,1,Unexpected Spike,Critical,8.13,Reduce peak hour usage
04/01/25 12:00,HH_1076,12.81,31.3,42,Stormy,1,12,4.51,High Evening Usage,1,1,0,Unexpected Spike,Critical,12.34,Reduce peak hour usage
04/01/25 15:00,HH_1083,10.42,29.2,58,Rainy,0,12,0.6,Low Consumption,1,0,0,Unexpected Spike,Warning,11.9,Optimize AC temperature settings
04/01/25 18:00,HH_1007,15.67,19.1,60,Windy,0,9,2.55,Low Consumption,0,1,1,Continuous Overload,Warning,14.8,Schedule heavy appliances during off-peak hours
04/01/25 21:00,HH_1002,14.57,39.4,85,Sunny,0,4,4.84,Low Consumption,1,0,0,Power Theft,Critical,13.7,Check faulty appliances
05/01/25 0:00,HH_1136,17.23,41.7,68,Cloudy,1,11,4.91,Low Consumption,1,1,0,Continuous Overload,Critical,16.85,Inspect wiring and meter
05/01/25 3:00,HH_1071,12.21,36.4,63,Stormy,1,9,0.56,Weekend Peak,0,1,1,Unexpected Spike,Warning,11.5,Optimize AC temperature settings
05/01/25 6:00,HH_1099,3.5,34.7,75,Rainy,1,7,3.3,Work From Home,0,0,1,Continuous Overload,Warning,4.05,Schedule heavy appliances during off-peak hours
05/01/25 9:00,HH_1098,7.13,29.4,90,Cloudy,1,8,3.28,Low Consumption,0,1,0,Unexpected Spike,Critical,7.46,Check faulty appliances
05/01/25 12:00,HH_1087,13.72,34.1,81,Stormy,1,4,5.89,Low Consumption,0,1,0,Power Theft,Critical,12.91,Check faulty appliances
